name,excitation,sample rate,filter cutoff,file name
H1167L,12,20000,500,/media/seth/Test_Data/H1167L/SignalAsciiData/DT_H1167L.csv
H1168R,12,20000,500,/media/seth/Test_Data/H1168R/SignalAsciiData/DT_H1168R.csv
H1260R,12,20000,500,/media/seth/Test_Data/H1260R/SignalAsciiData/DT_H1260R.csv
H1261R,12,20000,500,/media/seth/Test_Data/H1261R/SignalAsciiData/DT_H1261R.csv
H1262R,12,20000,500,/media/seth/Test_Data/H1262R/SignalAsciiData/DT_H1262R.csv
H1264L,12,20000,500,/media/seth/Test_Data/H1264L/SignalAsciiData/DT_H1264L.csv
H1266L,12,20000,500,/media/seth/Test_Data/H1266L/SignalAsciiData/DT_H1266L.csv
H1267R,12,20000,500,/media/seth/Test_Data/H1267R_2nd/SignalAsciiData/DT_H1267R_2nd.csv
H1268L,12,20000,500,/media/seth/Test_Data/H1268L/SignalAsciiData/DT_H1268L.csv
H1365R,12,20000,500,/media/seth/Test_Data/H1365R/SignalAsciiData/DT_H1365R.csv
H1366R,12,20000,500,/media/seth/Test_Data/H1366R/SignalAsciiData/DT_H1366R.csv
H1367R,12,20000,500,/media/seth/Test_Data/H1367R/SignalAsciiData/DT_H1367R.csv
H1368R,12,20000,500,/media/seth/Test_Data/H1368R/SignalAsciiData/DT_H1368R.csv
H1369L,12,20000,500,/media/seth/Test_Data/H1369L/SignalAsciiData/DT_H1369L.csv
H1370R,12,20000,500,/media/seth/Test_Data/H1370R/SignalAsciiData/DT_H1370R.csv
H1372R,12,20000,500,/media/seth/Test_Data/H1372R/SignalAsciiData/DT_H1372R.csv
H1373R,12,20000,500,/media/seth/Test_Data/H1373R/SignalAsciiData/DT_H1373R.csv
H1374R,12,20000,500,/media/seth/Test_Data/H1374R/SignalAsciiData/DT_H1374R.csv
H1375L,12,20000,500,/media/seth/Test_Data/H1375L/SignalAsciiData/DT_H1375L.csv
H1376L,12,20000,500,/media/seth/Test_Data/H1376L/SignalAsciiData/DT_H1376L.csv
H1377R,12,20000,500,/media/seth/Test_Data/H1377R/SignalAsciiData/DT_H1377R.csv
H1380R,12,20000,500,/media/seth/Test_Data/H1380R/SignalAsciiData/DT_H1380R.csv
H1381R,12,20000,500,/media/seth/Test_Data/H1381R/SignalAsciiData/DT_H1381R.csv
H1382L,12,20000,500,/media/seth/Test_Data/H1382L/SignalAsciiData/DT_H1382L.csv
